ra,dec,prob,grade,graded_at
0.03609614705211664,21.28364351228845,0.9950079,1.0,2020-03-27 18:07:14.533735
0.03692186195901335,21.284084824929817,0.99600005,2.0,2020-03-27 18:07:15.252583
0.03755332895772377,21.28346460528336,0.99660194,3.0,2020-03-27 18:07:15.795970
0.0390656617083677,21.281941700374574,0.9581404,4.0,2020-03-27 18:07:16.441951
0.057254807980608585,-1.35055805764267,0.94930184,1.0,2020-03-27 18:07:32.213180
0.1603300655922147,-9.381385032268085,0.9695450000000001,4.0,2020-03-27 18:32:45.954218
0.425409980272856,23.49582534849782,0.9767793,1.0,2020-03-27 18:18:22.316351
0.425409980272856,23.49582534849782,0.9767793,1.0,2020-03-27 18:18:22.316351
0.5138878237527502,-9.174932206539019,0.9906335999999999,2.0,2020-03-27 18:32:57.374568
0.5138878237527502,-9.174932206539019,0.9906335999999999,2.0,2020-03-27 18:32:57.374568
0.7744959490553294,2.7652237996632496,0.94531316,2.0,2020-03-27 18:32:48.294409
0.8126029825366851,16.145608212451233,0.99963677,4.0,2020-03-27 18:32:49.022482
0.8441998111095931,-4.087849334736024,0.943132,1.0,2020-03-27 18:32:49.612953
0.9954087079948516,20.752526954492645,0.9994904,3.0,2020-03-27 18:32:50.656696
1.128248994641082,5.2002883563583575,0.9999865,3.0,2020-03-27 18:32:57.946823
1.2155653106300337,-1.0550890241519388,0.99285346,4.0,2020-03-27 18:32:58.360283
1.2164292786401794,-1.054406669853327,0.9927684000000001,,
1.2759981728474816,6.920135646875662,0.9350558000000001,,
1.4093297082125769,-9.689326744619184,0.91941446,,
1.4117733364400102,-9.688483246938004,0.93358815,,
1.5575667997278109,22.689825276539477,0.9681069,,
1.67975267331891,5.0237330280593016,0.9036997999999999,,
1.8288408759179933,1.5364632419798772,0.90320367,,
2.006842773792885,33.070648033850624,0.9676200999999999,,
2.0298516906736865,18.372288347803952,0.9614328000000001,,
2.2678177898965,27.72941264454509,0.9994499,,
2.296275341808641,-29.20073447120743,0.9131246999999999,,
2.3429604129723773,2.1829597931781093,0.9680766,,
2.398155381370687,-32.276930652367184,0.9123934000000001,,
2.4735991758612865,-5.029480626476003,0.99855334,,
2.474418025472306,-5.027280485942018,0.9904122999999999,,
2.6061841339547525,26.69049956570144,0.96485317,,
2.7555800075539905,30.206305929933357,0.9825449,,
3.1438003864328152,-29.198256203017785,0.91564476,,
3.2922759167607523,-3.596003391247981,0.9973743,,
3.3626583337750184,-30.584017961715933,0.9455979,,
3.437774017750028,6.085092852253523,0.9407609,,
3.544895124554343,6.877963759701648,0.9971374,,
3.685732450344149,-7.345126097243763,0.99995196,,
3.801886356660508,-11.884917315852695,0.9025185,,
3.879516453270349,24.452844047243342,0.9358109,,
3.90091684257523,-29.822106772192804,0.9933721,,
